team,season,games,points_allowed,def_sacks,def_interceptions,def_fumbles_forced,def_tds,def_safeties,def_pass_defended,def_tackles_for_loss,source
CHI,2013,16,478,31,19,19,5,0,62,64,nflverse
CIN,2013,16,305,43,20,13,4,0,96,57,nflverse
CLE,2013,16,406,40,14,8,3,0,84,64,nflverse
DAL,2013,16,432,34,15,13,2,0,66,67,nflverse
DEN,2013,16,399,41,17,16,1,0,97,88,nflverse
DET,2013,16,376,33,15,11,1,2,88,72,nflverse
GB,2013,16,428,44,11,16,0,0,66,73,nflverse
HOU,2013,16,428,31,7,10,1,1,68,65,nflverse
IND,2013,16,336,42,15,19,1,2,77,58,nflverse
JAX,2013,16,449,31,11,15,1,3,71,58,nflverse
KC,2013,16,305,47,21,13,5,0,99,68,nflverse
LA,2013,16,364,53,14,21,2,1,75,98,nflverse
