player_name,position,team,season,games,fg_made,fg_att,fg_pct,fg_long,pat_made,pat_att,source
Chase McLaughlin,K,CLE,2021,16,15,21,0.714285714285714,57,36,37,nflverse
Rodrigo Blankenship,K,IND,2021,5,11,14,0.785714285714286,48,7,8,nflverse
Tyler Bass,K,BUF,2021,17,28,32,0.875,57,51,51,nflverse
Matt Ammendola,K,NYJ,2021,11,13,19,0.68421052631579,49,14,15,nflverse
Brian Johnson,K,WAS,2021,7,10,10,1,52,9,13,nflverse
Riley Patterson,K,DET,2021,7,13,14,0.928571428571429,49,16,16,nflverse
Evan McPherson,K,CIN,2021,16,28,33,0.848484848484848,58,46,48,nflverse
Robbie Gould,K,SF,2022,17,27,32,0.84375,51,50,51,nflverse
Matt Prater,K,ARI,2022,13,22,25,0.88,57,17,18,nflverse
Nick Folk,K,NE,2022,17,32,37,0.864864864864865,54,32,35,nflverse
Mason Crosby,K,GB,2022,17,25,29,0.862068965517241,56,37,39,nflverse
Graham Gano,K,NYG,2022,17,29,32,0.90625,57,32,34,nflverse
Ryan Succop,K,TB,2022,17,31,38,0.81578947368421,54,24,25,nflverse
Randy Bullock,K,TEN,2022,15,17,20,0.85,51,28,28,nflverse
Justin Tucker,K,BAL,2022,17,37,43,0.86046511627907,58,31,32,nflverse
Greg Zuerlein,K,NYJ,2022,17,30,37,0.810810810810811,60,28,29,nflverse
Brandon McManus,K,DEN,2022,17,28,36,0.777777777777778,55,25,27,nflverse
Dustin Hopkins,K,LAC,2022,5,9,10,0.9,43,12,12,nflverse
Brett Maher,K,DAL,2022,17,29,32,0.90625,60,50,53,nflverse
Chris Boswell,K,PIT,2022,12,20,28,0.714285714285714,59,18,18,nflverse
Cairo Santos,K,CHI,2022,16,21,23,0.91304347826087,51,27,32,nflverse
Jason Myers,K,SEA,2022,17,34,37,0.918918918918919,56,41,42,nflverse
Wil Lutz,K,NO,2022,17,23,31,0.741935483870968,60,33,33,nflverse
Ka'imi Fairbairn,K,HOU,2022,17,29,31,0.935483870967742,56,24,24,nflverse
Harrison Butker,K,KC,2022,13,18,24,0.75,62,38,41,nflverse
Younghoe Koo,K,ATL,2022,17,32,37,0.864864864864865,54,33,35,nflverse
Jake Elliott,K,PHI,2022,16,20,23,0.869565217391304,56,51,53,nflverse
Mike Badgley,K,DET,2022,13,24,28,0.857142857142857,53,33,33,nflverse
Daniel Carlson,K,LV,2022,17,34,37,0.918918918918919,57,35,36,nflverse
Eddy Pineiro,K,CAR,2022,17,33,35,0.942857142857143,54,30,32,nflverse
Greg Joseph,K,MIN,2022,17,26,33,0.787878787878788,61,40,46,nflverse
Jason Sanders,K,MIA,2022,17,26,32,0.8125,55,41,44,nflverse
Matthew Wright,K,PIT,2022,6,15,18,0.833333333333333,59,15,15,nflverse
Joey Slye,K,WAS,2022,17,25,30,0.833333333333333,58,24,28,nflverse
Matt Gay,K,LA,2022,17,28,30,0.933333333333333,58,31,32,nflverse
Chase McLaughlin,K,IND,2022,16,30,36,0.833333333333333,54,21,21,nflverse
Tyler Bass,K,BUF,2022,16,27,31,0.870967741935484,56,48,50,nflverse
Riley Patterson,K,JAX,2022,17,30,35,0.857142857142857,53,36,37,nflverse
Evan McPherson,K,CIN,2022,16,24,29,0.827586206896552,59,40,44,nflverse
Cameron Dicker,K,LAC,2022,11,21,22,0.954545454545455,48,24,24,nflverse
Cade York,K,CLE,2022,17,24,32,0.75,58,35,37,nflverse
Matt Prater,K,ARI,2023,17,28,33,0.848484848484848,62,22,23,nflverse
Nick Folk,K,TEN,2023,17,29,30,0.966666666666667,53,28,30,nflverse
Graham Gano,K,NYG,2023,8,11,17,0.647058823529412,57,8,8,nflverse
Justin Tucker,K,BAL,2023,17,32,37,0.864864864864865,50,51,52,nflverse
Greg Zuerlein,K,NYJ,2023,16,35,38,0.921052631578947,55,15,16,nflverse
Brandon McManus,K,JAX,2023,17,30,37,0.810810810810811,56,35,35,nflverse
Dustin Hopkins,K,CLE,2023,15,33,36,0.916666666666667,58,24,26,nflverse
Brett Maher,K,LA,2023,8,17,23,0.739130434782609,54,13,15,nflverse
Chris Boswell,K,PIT,2023,17,29,31,0.935483870967742,57,27,28,nflverse
Cairo Santos,K,CHI,2023,17,35,38,0.921052631578947,55,31,33,nflverse
Jason Myers,K,SEA,2023,17,35,42,0.833333333333333,55,33,33,nflverse
Wil Lutz,K,DEN,2023,17,30,34,0.882352941176471,52,29,31,nflverse
Ka'imi Fairbairn,K,HOU,2023,12,27,28,0.964285714285714,54,21,22,nflverse
Harrison Butker,K,KC,2023,17,33,35,0.942857142857143,60,38,38,nflverse
Younghoe Koo,K,ATL,2023,17,32,37,0.864864864864865,54,27,28,nflverse
Jake Elliott,K,PHI,2023,17,30,32,0.9375,61,45,46,nflverse
Daniel Carlson,K,LV,2023,17,26,30,0.866666666666667,54,32,32,nflverse
Eddy Pineiro,K,CAR,2023,15,25,29,0.862068965517241,56,17,20,nflverse
Greg Joseph,K,MIN,2023,17,24,30,0.8,54,36,38,nflverse
Jason Sanders,K,MIA,2023,17,24,28,0.857142857142857,57,58,59,nflverse
Joey Slye,K,WAS,2023,17,19,24,0.791666666666667,61,32,35,nflverse
